 Vardas               Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz       
Vardas1              Pavarde1           6         8         4         10        1         6         9         6         10        10        2         
Vardas2              Pavarde2           7         4         6         8         8         3         1         6         4         4         6         
Vardas3              Pavarde3           3         1         2         10        10        1         7         8         5         4         1         
Vardas4              Pavarde4           4         1         5         9         10        3         7         10        6         9         1         
Vardas5              Pavarde5           6         3         9         8         1         8         3         5         4         3         10        
Vardas6              Pavarde6           9         5         8         10        9         8         4         8         7         2         7         
Vardas7              Pavarde7           5         1         7         8         7         9         9         2         6         1         4         
Vardas8              Pavarde8           5         4         1         5         7         6         7         7         8         6         5         
Vardas9              Pavarde9           4         8         10        8         6         10        4         2         5         5         2         
Vardas10             Pavarde10          9         7         6         4         4         2         8         1         5         2         6         
Vardas11             Pavarde11          9         8         7         2         9         2         2         8         9         5         3         
Vardas12             Pavarde12          3         1         9         4         4         5         9         9         10        4         8         
Vardas13             Pavarde13          5         4         3         5         2         2         4         5         8         6         3         
Vardas14             Pavarde14          9         5         8         4         4         10        10        8         6         2         2         
Vardas15             Pavarde15          1         4         6         8         6         6         5         9         5         4         1         
Vardas16             Pavarde16          8         2         3         10        5         2         3         5         4         5         2         
Vardas17             Pavarde17          1         8         6         6         8         9         5         8         5         10        7         
Vardas18             Pavarde18          10        1         10        5         9         3         8         10        9         9         4         
Vardas19             Pavarde19          10        4         2         1         3         9         1         7         5         7         3         
Vardas20             Pavarde20          7         9         4         7         6         10        4         9         8         1         9         
Vardas21             Pavarde21          1         6         4         1         7         3         2         2         5         4         5         
Vardas22             Pavarde22          3         9         3         5         4         3         4         2         6         7         9         
Vardas23             Pavarde23          7         8         5         3         10        4         1         10        5         4         6         
Vardas24             Pavarde24          4         4         3         4         8         5         9         5         5         7         5         
Vardas25             Pavarde25          2         6         8         4         1         1         6         2         8         3         8         
Vardas26             Pavarde26          9         9         10        2         6         9         4         10        10        8         7         
Vardas27             Pavarde27          6         2         6         3         9         4         1         8         4         8         6         
Vardas28             Pavarde28          7         1         8         1         4         5         10        2         9         7         6         
Vardas29             Pavarde29          9         1         8         7         1         4         8         8         4         2         2         
Vardas30             Pavarde30          2         2         10        4         4         2         5         3         10        4         1         
Vardas31             Pavarde31          5         2         4         5         9         4         8         9         5         8         7         
Vardas32             Pavarde32          5         7         4         8         7         9         6         1         2         4         5         
Vardas33             Pavarde33          2         8         10        4         3         7         7         10        7         3         10        
Vardas34             Pavarde34          5         6         5         8         2         5         10        4         1         1         7         
Vardas35             Pavarde35          8         7         6         3         10        6         5         4         4         6         10        
Vardas36             Pavarde36          3         4         4         6         9         2         2         9         4         2         2         
Vardas37             Pavarde37          9         8         5         4         10        3         9         5         4         4         8         
Vardas38             Pavarde38          1         5         4         8         4         1         5         3         5         4         6         
